"","GeneL","modulesA1L"
"646","IL23A","MsAge7K_01"
"647","LPO","MsAge7K_00"
"648","CES1","MsAge7K_06"
"649","CLEC3B","MsAge7K_00"
"650","IL11","MsAge7K_00"
"651","HCAR1","MsAge7K_07"
"652","HENMT1","MsAge7K_00"
"653","ERICH5","MsAge7K_04"
"654","GLP2R","MsAge7K_00"
"655","SLC22A18","MsAge7K_00"
"656","PTGER3","MsAge7K_02"
"657","ZNF296","MsAge7K_00"
"658","MYH7","MsAge7K_00"
"659","SH3RF2","MsAge7K_00"
"660","C5","MsAge7K_00"
"661","ZC3H7A","MsAge7K_00"
"662","WDR72","MsAge7K_00"
"663","ALPK3","MsAge7K_00"
"664","FGFBP1","MsAge7K_07"
"665","SUSD3","MsAge7K_00"
"666","AUNIP","MsAge7K_00"
"667","CXCL16","MsAge7K_04"
"668","LRRC8A","MsAge7K_00"
"669","PTPRH","MsAge7K_00"
"670","TNS4","MsAge7K_00"
"671","DDT","MsAge7K_00"
"672","DDTL","MsAge7K_00"
"673","SCN4B","MsAge7K_02"
"674","DND1","MsAge7K_00"
"675","SLC35E2B","MsAge7K_03"
"676","NRL","MsAge7K_00"
"677","SOX18","MsAge7K_00"
"678","NUP62CL","MsAge7K_00"
"679","KIF20A","MsAge7K_00"
"680","ZFHX3","MsAge7K_06"
"681","PRSS16","MsAge7K_00"
"682","TEX11","MsAge7K_00"
"683","KLF2","MsAge7K_13"
"684","TRIM16","MsAge7K_00"
"685","TRIM16L","MsAge7K_00"
"686","PTPN20","MsAge7K_00"
"687","CITED4","MsAge7K_00"
"688","TEX26","MsAge7K_00"
"689","PTGFR","MsAge7K_07"
"690","CCKBR","MsAge7K_02"
"691","DMKN","MsAge7K_00"
"692","RAB37","MsAge7K_00"
"693","CKS2","MsAge7K_00"
"694","CHRDL1","MsAge7K_00"
"695","PLA2G2F","MsAge7K_00"
"696","C6orf118","MsAge7K_00"
"697","MEIOC","MsAge7K_00"
"698","HLA-DOB","MsAge7K_04"
"699","HYDIN","MsAge7K_14"
"700","PIFO","MsAge7K_00"
"701","PIP5KL1","MsAge7K_00"
"702","PRKG2","MsAge7K_00"
"703","TCF19","MsAge7K_00"
"704","VEGFD","MsAge7K_05"
"705","ADAMTSL4","MsAge7K_09"
"706","SLC15A3","MsAge7K_04"
"707","SPINT1","MsAge7K_00"
"708","GOT1L1","MsAge7K_00"
"709","BHMT2","MsAge7K_00"
"710","CFAP52","MsAge7K_00"
"711","TMEM210","MsAge7K_00"
"712","TMEM125","MsAge7K_01"
"713","PSMB9","MsAge7K_00"
"714","MRC1","MsAge7K_07"
"715","WISP1","MsAge7K_00"
"716","STIL","MsAge7K_01"
"717","MKI67","MsAge7K_11"
"718","PKHD1L1","MsAge7K_00"
"719","CCNA1","MsAge7K_00"
"720","MT-CO2","MsAge7K_00"
"721","TWIST2","MsAge7K_00"
"722","FSCN2","MsAge7K_00"
"723","DRC7","MsAge7K_00"
"724","TTC22","MsAge7K_00"
"725","EXPH5","MsAge7K_00"
"726","TOR4A","MsAge7K_00"
"727","COX4I2","MsAge7K_00"
"728","OR10AD1","MsAge7K_00"
"729","TLR2","MsAge7K_00"
"730","RNF223","MsAge7K_00"
"731","MED13","MsAge7K_03"
"732","NR4A1","MsAge7K_13"
"733","BTAF1","MsAge7K_00"
"734","RILP","MsAge7K_00"
"735","SRCAP","MsAge7K_00"
"736","CYTL1","MsAge7K_00"
"737","ARHGEF37","MsAge7K_00"
"738","RHO","MsAge7K_00"
